Voucher;Nome da empresa;CNPJ;Data;Referencia;Iniciais;Situacao;Pagamento;Valor;Observacao;Nota enviada
13208758;TRILHA SEGURANCA ME;57873521000170;03/02/2026;Cert Novo;Pc;Em aberto;Conta;210,00;ok;sim
13204058;Farol Tecnologia Eireli;21.975.942/0001-65;11/01/2026;Renovacao;So;Cortesia;Cortesia;140,00;falar com o contador;
13213634;LUCIANA COSTA LIMA;67633222248;01/01/2026;Novo;Ds;Pago;Asaas;170,00;contato por e-mail;
13203406;GAIA ENGENHARIA LTDA;78895908000106;26/02/2026;Apoio;Mc;Pago;Conta;210,00;retornar dia 28;
13203242;VERTICE COMERCIO LTDA;52315408000156;01/01/2026;Cert Novo;Am;Pago;Asaas;210,00;ok;
13207446;SOLAR ODONTOLOGIA ME;02.447.453/0001-96;26/01/2026;Job Contabil;Mc;Pago;Conta;49,90;ok;
13212028;RIACHO TECNOLOGIA LTDA;78205049000179;25/02/2026;Indicacao;Ab;Pago;Conta;280,00;retornar dia 28;
13204994;ALPHA MARKETING LTDA;24.464.927/0001-40;12/02/2026;Contador;Mc;Pago;Conta;210,00;;
13213100;RIACHO MARKETING LTDA;52233240000130;07/02/2026;Renovacao;Am;Pago;Conta;140,00;;
13205677;KAIRO SEGURANCA ME;70.816.505/0001-04;16/01/2026;Novo;Am;Pago;Asaas;210,00;ok;sim
13202740;Felipe Carvalho;53523135624;20/01/2026;Contador;Mc;Pago;Conta;49,90;aguardando nota;sim
13212976;ERVAL IMOBILIARIA LTDA;28.848.522/0001-67;01/02/2026;Renovacao;Bp;Em aberto;Conta;110,00;;
13214390;CAMILA TAVARES;664.319.960-88;08/02/2026;Job Contabil;Rm;Pago;Conta;280,00;;
13207318;Jurema Consultoria Ltda;68819245000189;24/02/2026;Novo;Jp;Em aberto;Asaas;210,00;ok;
13204299;ERVAL ODONTOLOGIA LTDA;20.172.816/0001-00;13/01/2026;Contador;Am;Pago;Conta;210,00;falar com o contador;
13207680;Farol Engenharia Ltda;75.065.258/0001-75;25/02/2026;Apoio;Ds;Pago;Asaas;49,90;;
13208920;MARCOS AURELIO RAMOS;771.530.583-53;28/02/2026;Apoio;Wb;Cortesia;Cortesia;110,00;ok;
13212195;Priscila Tavares;070.347.348-12;23/01/2026;Job Contabil;Et;Pago;Conta;49,90;;
13201106;VERTICE IMOBILIARIA ME;60995344000100;29/01/2026;Contrato;St;Pago;Asaas;110,00;retornar dia 28;
13214093;UNIAO CONSULTORIA S/A;39.364.372/0001-32;04/02/2026;Renovacao;Jp;Pago;Conta;210,00;falar com o contador;sim
13210043;CAMILA MACHADO;65730873696;07/02/2026;Indicacao;Et;Pago;Asaas;190,00;contato por e-mail;sim
13205988;GAIA ALIMENTOS LTDA;91040660000151;16/02/2026;Contrato;So;Pago;Conta;210,00;ok;
13200572;Simone Reis Melo;994.874.232-40;12/01/2026;Novo;Bp;Pago;Asaas;160,00;contato por e-mail;
13201360;IPE DISTRIBUIDORA LTDA;10893917000116;15/02/2026;Google;Ab;Pago;Asaas;210,00;ok;
13200702;ORION MANUTENCAO ME;36497321000190;04/01/2026;Contrato;Am;Pago;Asaas;210,00;retornar dia 28;sim
13212952;MARCOS AURELIO MACHADO;;20/02/2026;Renovacao;Et;Pago;Conta;110,00;retornar dia 28;
13205804;SIMONE COSTA LIMA;06139194103;24/02/2026;Cert Novo;Am;Pago;Conta;49,90;;
13203648;PRIMA PARTICIPACOES LTDA;05948861000110;19/01/2026;Job Contabil;St;Pago;Asaas;210,00;ok;
13201646;ERVAL MARKETING LTDA;22989506000108;08/01/2026;Job Contabil;Ds;Pago;Asaas;49,90;aguardando nota;
13214198;MARESIA CONSULTORIA LTDA;20.003.518/0001-96;05/01/2026;Renovacao;Rm;Pago;Conta;140,00;contato por e-mail;
13209240;Norte Alimentos Ltda;81.988.124/0001-29;28/01/2026;Renovacao;Pc;Pago;Asaas;49,90;;sim
13200277;PRIMA LOGISTICA LTDA;77189150000110;18/02/2026;Cert Novo;So;Pago;Asaas;200,00;ok;
13214342;FONTE MANUTENCAO ME;82.336.895/0001-02;01/02/2026;Contador;Wb;Pago;Asaas;170,00;ok;
13200959;  IPE COMERCIO S/A ;04703776000129;01/03/2026;Job Contabil;St;Pago;Asaas;190,00;;
13203709;OLIVEIRA ENGENHARIA S/A;75464534000178;21/01/2026;Google;Am;Pago;Conta;190,00;aguardando nota;
13211247;SERRA ALIMENTOS LTDA;56.798.850/0001-31;03/02/2026;Contador;Jp;Pago;Asaas;170,00;;
13202202;HORIZONTE ENGENHARIA LTDA;63.103.842/0001-99;01/03/2026;Google;Bp;Pago;Conta;210,00;aguardando nota;
13213264;EDUARDO REIS MELO;565.781.070-67;19/02/2026;Google;St;Pago;Conta;140,00;retornar dia 28;
13205033;  EDUARDO RAMOS ;17252392863;22/01/2026;Indicacao;Wb;Pago;Asaas;340,00;ok;sim
13203221;XISTO DISTRIBUIDORA EIRELI;60.186.705/0001-77;13/01/2026;Renovacao;St;Pago;Asaas;210,00;aguardando nota;
13201564;HORIZONTE TRANSPORTES S/A;13.307.031/0001-31;29/01/2026;Cert Novo;Mc;Pago;Asaas;210,00;falar com o contador;sim
13210397;Esteio Distribuidora Ltda;36098444000159;21/02/2026;Renovacao;St;Em aberto;Asaas;340,00;falar com o contador;
13208265;ALPHA SEGURANCA ME;72872008000159;09/02/2026;Cert Novo;Ta;Pago;Asaas;110,00;ok;
13202390;LAGOA LOGISTICA LTDA;11.797.989/0001-22;29/01/2026;Contrato;Jp;Em aberto;Conta;49,90;ok;
13210342;TAMBORIL ASSESSORIA LTDA;01049684000189;04/01/2026;Job Contabil;Bp;Pago;Conta;140,00;;sim
13211330;BRISA EDUCACAO LTDA;29.090.729/0001-88;19/02/2026;Indicacao;Ta;Pago;Asaas;170,00;falar com o contador;
13211428;BOREAL SERVICOS LTDA;80703098000182;03/01/2026;Google;Pc;Cortesia;Cortesia;170,00;aguardando nota;
13212856;RODRIGO ANDRADE;84252189182;17/02/2026;Job Contabil;Ta;Pago;Conta;49,90;ok;sim
13211477;LUCIANA MORAES;466.949.335-31;23/01/2026;Job Contabil;Ab;Pago;Conta;210,00;;sim
13207154;SOLAR EDUCACAO EIRELI;14582681000158;27/01/2026;Contrato;Jp;Pago;Conta;280,00;;sim
13203084;BOREAL ENGENHARIA ME;61312857000131;08/01/2026;Job Contabil;Fv;Pago;Asaas;210,00;contato por e-mail;
13212641;INVERNO LOGISTICA EIRELI;94342806000101;15/01/2026;Google;Et;Cortesia;Cortesia;210,00;;sim
13213310;VERTICE TRANSPORTES S/A;27096006000160;09/02/2026;Cert Novo;Et;Pago;Conta;49,90;contato por e-mail;
13212777;INVERNO TECNOLOGIA LTDA;20.521.327/0001-16;31/01/2026;Cert Novo;Ab;Em aberto;Asaas;110,00;ok;
13209694;PRIMA ASSESSORIA EIRELI;07700785000154;31/01/2026;Renovacao;St;Pago;Asaas;110,00;;
13206527;  PEDRA IMOBILIARIA EIRELI ;31431663000194;26/02/2026;Contrato;Ta;Pago;Asaas;110,00;;
13210297;FELIPE MORAES;770.198.748-85;13/01/2026;Apoio;Am;Pago;Conta;210,00;;
13214069;Renata Costa Lima;07858528841;14/02/2026;Renovacao;Am;Pago;Asaas;210,00;ok;
13209263;TRILHA TRANSPORTES S/A;34071496000106;05/02/2026;Renovacao;Et;Pago;Asaas;340,00;aguardando nota;sim
13213730;BRISA DISTRIBUIDORA EIRELI;44849159000150;07/02/2026;Cert Novo;Fv;Em aberto;Asaas;190,00;retornar dia 28;
13207255;  JUREMA TECNOLOGIA EIRELI ;87715564000199;30/01/2026;Indicacao;Bp;Pago;Asaas;110,00;ok;
13213805;VANESSA SALES;93861852562;11/01/2026;Apoio;Ab;Pago;Conta;170,00;ok;
13214425;ZENITE ENGENHARIA LTDA;86032520000100;23/01/2026;Cert Novo;Jp;Pago;Asaas;110,00;falar com o contador;
13200226;CEDRO EVENTOS LTDA;79410093000182;10/02/2026;Indicacao;Ta;Em aberto;Asaas;260,00;;
13206117;BOREAL ASSESSORIA LTDA;38.841.235/0001-89;15/02/2026;Google;Jp;Pago;Asaas;210,00;;sim
13209730;ZENITE CONTABILIDADE ME;97602032000107;19/02/2026;Cert Novo;Et;Pago;Conta;210,00;;
13209364;PATRICIA REIS MELO;46667322744;19/02/2026;Cert Novo;Ab;Pago;Conta;210,00;contato por e-mail;sim
13202496;  NORTE LOGISTICA ME ;95290525000115;23/01/2026;Cert Novo;Pc;Pago;Asaas;210,00;contato por e-mail;
13212731;JUREMA PARTICIPACOES LTDA;06282600000176;03/01/2026;Job Contabil;Ta;Pago;Asaas;340,00;aguardando nota;
13207322;Delta Transportes Me;60151267000101;26/01/2026;Job Contabil;Pc;Pago;Asaas;210,00;retornar dia 28;
13212617;BOREAL SEGURANCA ME;43163650000160;09/02/2026;Indicacao;Rm;Pago;Conta;340,00;ok;
13202797;Erval Distribuidora S/A;82108442000111;11/01/2026;Renovacao;Mc;Pago;Asaas;49,90;contato por e-mail;sim
13211338;SOLAR EVENTOS S/A;78175792000122;03/02/2026;Apoio;Et;Pago;Conta;190,00;ok;
13206327;  PATRICIA MACHADO ;49322801252;20/02/2026;Contador;Rm;Em aberto;Conta;210,00;contato por e-mail;sim
13207707;BOREAL EVENTOS LTDA;80.919.010/0001-64;22/01/2026;Contador;Ab;Pago;Conta;190,00;aguardando nota;sim
13204463;ALPHA ODONTOLOGIA EIRELI;99236440000100;03/01/2026;Renovacao;Bp;Cortesia;Cortesia;49,90;contato por e-mail;sim
13204946;QUARTZO TRANSPORTES ME;95718908000141;12/01/2026;Indicacao;Fv;Pago;Asaas;190,00;ok;sim
13201628;XISTO COMERCIO S/A;43.704.429/0001-72;21/02/2026;Google;St;Em aberto;Asaas;49,90;ok;
13200086;Quartzo Manutencao S/A;32403802000139;19/01/2026;Novo;Wb;Em aberto;Asaas;110,00;ok;
13204832;LUMEN EVENTOS S/A;01.949.104/0001-00;29/01/2026;Contrato;Mc;Pago;Asaas;49,90;retornar dia 28;
13208480;VANESSA ANDRADE;36518417951;08/01/2026;Job Contabil;Am;Pago;Asaas;210,00;aguardando nota;sim
13212557;Solar Odontologia Ltda;41.715.840/0001-18;26/02/2026;Contrato;Jp;Pago;Asaas;210,00;retornar dia 28;
13206631;OLIVEIRA COMERCIO LTDA;61454780000134;02/01/2026;Job Contabil;Wb;Pago;Conta;210,00;;
13207242;DUNA TECNOLOGIA EIRELI;93605792000109;18/02/2026;Google;Ds;Pago;Conta;210,00;ok;
13201759;BOREAL ENGENHARIA ME;44.576.782/0001-87;12/02/2026;Google;Ab;Pago;Asaas;49,90;;
13213516;RODRIGO MACHADO;73249015975;05/01/2026;Renovacao;Bp;Pago;Asaas;49,90;contato por e-mail;sim
13202143;DUNA SERVICOS;58432072000198;15/01/2026;Cert Novo;Jp;Pago;Asaas;210,00;ok;sim
13208417;ALPHA TRANSPORTES S/A;14.485.312/0001-47;16/01/2026;Indicacao;Pc;Pago;Asaas;110,00;;
13208707;  PRIMA LOGISTICA LTDA ;31.321.632/0001-80;31/01/2026;Contador;Pc;Cortesia;Cortesia;210,00;ok;sim
13204845;INVERNO SERVICOS ME;94.092.447/0001-81;02/01/2026;Apoio;Am;Cortesia;Cortesia;340,00;ok;sim
13203920;GUSTAVO REIS MELO;926.261.506-76;25/02/2026;Renovacao;Wb;Em aberto;Asaas;340,00;ok;
13213453;INVERNO TURISMO LTDA;41543290000105;01/02/2026;Apoio;Pc;Pago;Conta;49,90;;
13208826;SOLAR ENGENHARIA ME;22530431000100;18/01/2026;Contrato;Fv;Pago;Asaas;210,00;ok;
13200629;ERVAL MANUTENCAO ME;22709956000108;24/02/2026;Contrato;Ta;Pago;Asaas;260,00;contato por e-mail;
13204619;CAMPO SERVICOS EIRELI;61408727000105;04/02/2026;Renovacao;Mc;Pago;Asaas;;contato por e-mail;
13203508;GIRASSOL TECNOLOGIA ME;58819826000167;16/01/2026;Novo;Bp;Pago;Conta;190,00;ok;
13200757;ORION CONTABILIDADE;;25/01/2026;Google;St;Pago;Asaas;190,00;ok;
13201894;HORIZONTE COMERCIO LTDA;42.592.964/0001-16;22/02/2026;Novo;Am;Pago;Asaas;340,00;ok;
13201816;  QUARTZO TECNOLOGIA LTDA ;14024763000187;11/02/2026;Indicacao;Ds;Pago;Asaas;340,00;contato por e-mail;
13206726;ORION CONSULTORIA EIRELI;89116876000101;24/01/2026;Job Contabil;Wb;Em aberto;Asaas;140,00;retornar dia 28;
13207529;VANESSA FONSECA;50369995758;26/01/2026;Indicacao;Am;Pago;Asaas;140,00;aguardando nota;
13203606;GAIA COMERCIO EIRELI;27.943.250/0001-11;20/02/2026;Indicacao;So;Pago;Conta;210,00;falar com o contador;
13204584;FAROL LOGISTICA;66.792.791/0001-48;15/02/2026;Contador;Wb;Pago;Conta;170,00;ok;
13211458;BOREAL MANUTENCAO S/A;16417542000102;20/02/2026;Google;Ds;Em aberto;Conta;210,00;;
13210998;ORION TECNOLOGIA ME;17959160000165;13/01/2026;Contrato;Et;Em aberto;Conta;210,00;ok;
13212505;SIMONE TAVARES;20540520543;19/02/2026;Apoio;Ds;Em aberto;Conta;49,90;aguardando nota;
13214315;NORTE SERVICOS ME;19.585.558/0001-04;31/01/2026;Contador;Rm;Pago;Asaas;280,00;contato por e-mail;
13214509;DELTA TRANSPORTES ME;64.714.270/0001-47;11/02/2026;Apoio;Ds;Pago;Asaas;340,00;ok;
13213006;ALPHA EDUCACAO EIRELI;60210369000150;13/01/2026;Apoio;Rm;Em aberto;Conta;190,00;retornar dia 28;
13204813;MIRANTE ALIMENTOS EIRELI;32223907000106;23/01/2026;Novo;Ta;Pago;Asaas;190,00;retornar dia 28;
13200547;ESTEIO CONTABILIDADE LTDA;48865529000102;09/02/2026;Contador;Jp;Pago;Asaas;120,00;falar com o contador;
13212379;KAIRO ALIMENTOS LTDA;66642762000109;13/01/2026;Contrato;Ab;Pago;Conta;170,00;;
13214158;ERVAL CONTABILIDADE LTDA;;06/02/2026;Novo;Ta;Pago;Conta;210,00;falar com o contador;
13207418;Varanda Imobiliaria S/A;66.443.592/0001-24;09/01/2026;Indicacao;Jp;Pago;Conta;170,00;;
13211828;LUMEN ODONTOLOGIA LTDA;21604705000198;08/02/2026;Cert Novo;Mc;Pago;Asaas;;falar com o contador;
13207998;Farol Contabilidade Ltda;63070297000181;14/02/2026;Job Contabil;Fv;Em aberto;Conta;210,00;;
13201250;PRISCILA DIAS;36332165814;26/01/2026;Cert Novo;Wb;Pago;Asaas;340,00;contato por e-mail;
13207152;ORION SEGURANCA S/A;44895944000140;12/01/2026;Apoio;Et;Em aberto;Asaas;110,00;retornar dia 28;
13201429;Alpha Contabilidade S/A;41727953000133;07/01/2026;Contador;Et;Pago;Asaas;140,00;aguardando nota;
13209184;  HORIZONTE SERVICOS EIRELI ;99863655000150;05/02/2026;Apoio;Am;Pago;Asaas;49,90;ok;
13209933;JUREMA PARTICIPACOES EIRELI;62.010.448/0001-43;04/02/2026;Novo;Bp;Pago;Conta;170,00;ok;
13209850;MIRANTE DISTRIBUIDORA S/A;78426486000111;30/01/2026;Apoio;Jp;Pago;Conta;210,00;ok;
13210193;LAGOA ODONTOLOGIA LTDA;67624569000107;08/02/2026;Google;Ta;Pago;Conta;210,00;ok;
13214383;UNIAO MANUTENCAO LTDA;57.013.763/0001-94;01/01/2026;Renovacao;Mc;Pago;Asaas;210,00;ok;
13204708;ARARA SEGURANCA EIRELI;57.092.489/0001-96;09/01/2026;Indicacao;Wb;Pago;Asaas;280,00;aguardando nota;sim
13212675;PRISCILA REIS MELO;655.626.527-71;16/01/2026;Apoio;Pc;Pago;Asaas;210,00;falar com o contador;
13210766;  ARARA ALIMENTOS LTDA ;20.588.104/0001-76;02/02/2026;Apoio;Ab;Pago;Asaas;140,00;ok;
13200210;MARCOS AURELIO DIAS;23108217522;17/02/2026;Job Contabil;Pc;Pago;Asaas;49,90;;sim
13200359;DUNA PARTICIPACOES LTDA;11143887000193;19/01/2026;Novo;Jp;Pago;Asaas;230,00;ok;
13210132;BOREAL CONSULTORIA LTDA;34645221000139;14/01/2026;Job Contabil;Rm;Pago;Asaas;190,00;;sim
13206926;  RIACHO DISTRIBUIDORA LTDA ;66.791.449/0001-23;12/02/2026;Cert Novo;Jp;Em aberto;Conta;140,00;;
13212826;HORIZONTE ALIMENTOS LTDA;91301207000151;12/01/2026;Cert Novo;St;Pago;Conta;140,00;ok;
13202349;MARESIA COMERCIO LTDA;23.478.638/0001-38;11/01/2026;Contador;Et;Pago;Conta;49,90;ok;
13206061;EDUARDO COSTA LIMA;767.040.948-32;15/02/2026;Renovacao;Mc;Pago;Conta;110,00;ok;
13210660;JOAO VITOR ANDRADE;;21/01/2026;Renovacao;Fv;Pago;Asaas;140,00;ok;
13203931;FAROL ENGENHARIA EIRELI;62974446000174;05/01/2026;Renovacao;Fv;Pago;Conta;49,90;falar com o contador;sim
13211029;Gaia Imobiliaria Ltda;54744370000162;11/02/2026;Indicacao;Ta;Pago;Conta;110,00;ok;sim
13208887;UNIAO COMERCIO ME;22091011000167;27/02/2026;Novo;Bp;Pago;Conta;190,00;aguardando nota;sim
13212951;GUSTAVO COSTA LIMA;10124459453;10/01/2026;Job Contabil;Mc;Pago;Asaas;280,00;contato por e-mail;
13207877;SERRA DISTRIBUIDORA S/A;35.151.407/0001-02;29/01/2026;Contrato;Wb;Pago;Asaas;210,00;falar com o contador;
13206082;KAIRO EDUCACAO EIRELI;37.204.026/0001-61;09/02/2026;Contrato;Wb;Pago;Conta;280,00;;
13205944;  UNIAO EVENTOS LTDA ;77190758000164;02/02/2026;Google;Fv;Pago;Conta;280,00;;
13206057;DUNA CONSULTORIA S/A;97421887000123;26/01/2026;Novo;Jp;Pago;Asaas;210,00;ok;
13210000;ESTEIO MARKETING ME;51670777000102;17/02/2026;Contrato;Ds;Cortesia;Cortesia;210,00;;
13201705;LUCIANA TAVARES;90644437308;06/02/2026;Cert Novo;Ta;Pago;Asaas;210,00;;
13209296;FELIPE MACHADO;928.853.918-86;14/02/2026;Job Contabil;Rm;Pago;Asaas;170,00;;
13200257;ORION CONTABILIDADE S/A;38635609000100;18/02/2026;Novo;Ta;Pago;Asaas;350,00;ok;sim
13214324;LUMEN DISTRIBUIDORA LTDA;52.163.330/0001-00;23/02/2026;Renovacao;Fv;Pago;Asaas;49,90;;
13211132;ERVAL COMERCIO LTDA;60597559000172;25/02/2026;Contador;Ds;Pago;Asaas;280,00;ok;sim
13211675;VARANDA MANUTENCAO LTDA;44050193000160;15/02/2026;Job Contabil;Bp;Pago;Conta;210,00;ok;
13213723;PEDRA COMERCIO EIRELI;09113403000111;24/02/2026;Indicacao;St;Pago;Asaas;210,00;contato por e-mail;sim
13208792;PRIMA PARTICIPACOES EIRELI;42.659.910/0001-20;08/01/2026;Contador;Bp;Pago;Conta;210,00;aguardando nota;
13200027;  UNIAO IMOBILIARIA ME ;17585774000124;25/02/2026;Renovacao;Am;Pago;Asaas;49,90;ok;
13203682;Ipe Odontologia Ltda;68.240.825/0001-17;09/01/2026;Cert Novo;Pc;Pago;Conta;340,00;ok;
13208122;RIACHO PARTICIPACOES S/A;10453453000127;30/01/2026;Contrato;St;Pago;Asaas;340,00;contato por e-mail;sim
13205071;Xisto Seguranca Ltda;59.224.167/0001-89;02/02/2026;Contador;Ab;Pago;Conta;210,00;;sim
13202686;RODRIGO FONSECA;96523149378;13/02/2026;Google;Mc;Em aberto;Asaas;49,90;ok;
13201596;Alpha Transportes Me;65932987000129;06/01/2026;Novo;Wb;Pago;Asaas;170,00;;
13201268;  PRIMA MARKETING LTDA ;47.119.050/0001-56;11/01/2026;Contador;Pc;Pago;Asaas;210,00;falar com o contador;
13202879;RIACHO EVENTOS LTDA;89889415000171;11/02/2026;Cert Novo;Pc;Pago;Asaas;190,00;ok;
13202903;MARCOS AURELIO ANDRADE;458.466.814-43;20/01/2026;Cert Novo;Rm;Pago;Conta;210,00;ok;
13211993;SOLAR DISTRIBUIDORA LTDA;79.954.319/0001-06;08/01/2026;Cert Novo;Bp;Pago;Conta;140,00;aguardando nota;
13212225;PRIMA TRANSPORTES ME;29.884.665/0001-97;23/02/2026;Indicacao;Am;Pago;Conta;210,00;ok;
13208443;RIACHO ODONTOLOGIA ME;88802843000152;10/02/2026;Google;Jp;Pago;Asaas;340,00;falar com o contador;
13208180;  QUARTZO CONTABILIDADE S/A ;23341439000183;28/02/2026;Apoio;Am;Pago;Asaas;49,90;aguardando nota;
13211070;FAROL TECNOLOGIA ME;37.599.710/0001-90;02/01/2026;Cert Novo;Mc;Pago;Conta;110,00;;
13208029;LAGOA EVENTOS ME;39625883000160;03/01/2026;Contador;Ta;Em aberto;Asaas;170,00;ok;
13212369;DELTA ASSESSORIA S/A;16.239.030/0001-95;08/02/2026;Job Contabil;Wb;Pago;Asaas;340,00;;sim
13204747;QUARTZO ODONTOLOGIA LTDA;99172703000164;27/02/2026;Contador;Bp;Pago;Asaas;190,00;aguardando nota;
13207636;DELTA LOGISTICA S/A;73410032000139;02/02/2026;Contrato;St;Pago;Asaas;210,00;ok;
13203410;INVERNO MARKETING S/A;11949491000138;30/01/2026;Apoio;Pc;Pago;Asaas;170,00;contato por e-mail;
13205203;PEDRA ALIMENTOS EIRELI;67.686.730/0001-69;12/02/2026;Novo;St;Pago;Conta;49,90;ok;
13200429;Campo Logistica Ltda;81.484.662/0001-86;29/01/2026;Cert Novo;Pc;Pago;Asaas;360,00;ok;
13210279;RODRIGO NUNES ABREU;5272952100;20/02/2026;Novo;Ds;Em aberto;Conta;210,00;ok;
13201466;Prima Contabilidade Eireli;59692557000183;08/02/2026;Cert Novo;Ds;Pago;Asaas;210,00;;
13209341;MIRANTE TECNOLOGIA LTDA;65.735.585/0001-33;12/02/2026;Contrato;Ds;Pago;Conta;210,00;ok;sim
13214558;GAIA LOGISTICA LTDA;51.596.432/0001-48;12/01/2026;Contrato;Ta;Pago;Conta;340,00;;
13203759;IPE TECNOLOGIA ME;41175677000148;16/02/2026;Cert Novo;Bp;Em aberto;Conta;280,00;ok;sim
13206665;XISTO EVENTOS EIRELI;52503415000181;09/02/2026;Contador;Am;Em aberto;Conta;170,00;;
13201854;THIAGO SALES;38279496109;14/01/2026;Apoio;Bp;Pago;Asaas;140,00;ok;sim
13210734;NORTE TURISMO LTDA;22092791000160;11/02/2026;Job Contabil;Ta;Pago;Conta;210,00;ok;
13205757;Tamboril Logistica Eireli;50.037.603/0001-36;26/02/2026;Contador;Mc;Pago;Asaas;140,00;ok;sim
13202655;Farol Engenharia Eireli;38.145.330/0001-48;05/02/2026;Job Contabil;Pc;Em aberto;Conta;;contato por e-mail;
13212516;VANESSA PIRES;26745346314;25/01/2026;Google;Mc;Pago;Asaas;280,00;;
13206646;PRIMA ALIMENTOS ME;56216819000145;08/02/2026;Job Contabil;Rm;Pago;Conta;210,00;retornar dia 28;
13203958;CEDRO TECNOLOGIA S/A;97.548.311/0001-21;25/01/2026;Novo;St;Pago;Conta;340,00;falar com o contador;
13208710;INVERNO ENGENHARIA LTDA;92948246000108;09/02/2026;Apoio;Ab;Pago;Asaas;49,90;ok;
13205101;TAMBORIL DISTRIBUIDORA;70362283000105;12/02/2026;Contador;Am;Cortesia;Cortesia;210,00;falar com o contador;sim
13207751;FELIPE MORAES;03880782953;18/02/2026;Cert Novo;Bp;Em aberto;Conta;210,00;;
13212766;MARESIA IMOBILIARIA LTDA;70.206.270/0001-39;06/02/2026;Renovacao;Pc;Pago;Conta;210,00;aguardando nota;
13203797;UNIAO SERVICOS S/A;25634453000109;12/02/2026;Renovacao;So;Pago;Asaas;110,00;aguardando nota;sim
13209965;Varanda Servicos Ltda;85706974000148;01/01/2026;Cert Novo;Fv;Cortesia;Cortesia;280,00;;
13211172;LAGOA LOGISTICA EIRELI;70521190000178;24/02/2026;Job Contabil;Rm;Pago;Asaas;210,00;ok;sim
13202430;DELTA LOGISTICA EIRELI;99809096000109;25/01/2026;Contrato;Ds;Pago;Asaas;170,00;retornar dia 28;
13209356;TRILHA TURISMO LTDA;75081619000177;05/02/2026;Renovacao;St;Pago;Asaas;210,00;;
13211211;SOLAR SEGURANCA EIRELI;65569639000138;23/02/2026;Indicacao;Pc;Pago;Asaas;280,00;aguardando nota;
13202719;Duna Marketing Ltda;93755787000182;22/02/2026;Contador;Bp;Pago;Asaas;280,00;ok;
13208155;ALPHA IMOBILIARIA ME;88579939000101;20/02/2026;Job Contabil;Ta;Pago;Conta;140,00;;
13204169;  Quartzo Imobiliaria Eireli ;17.595.156/0001-65;15/01/2026;Novo;Jp;Em aberto;Conta;49,90;ok;
13201849;FONTE TURISMO S/A;20969238000137;01/02/2026;Google;Jp;Em aberto;Asaas;280,00;;sim
13210813;TAMBORIL ASSESSORIA S/A;38782082000146;11/02/2026;Renovacao;Mc;Em aberto;Asaas;110,00;;
13214301;LUMEN ALIMENTOS S/A;44317426000149;29/01/2026;Contrato;Fv;Pago;Asaas;210,00;retornar dia 28;
13211631;SIMONE DIAS;28426931326;14/01/2026;Novo;Rm;Pago;Asaas;170,00;;sim
13207571;IPE EVENTOS EIRELI;65033350000108;24/01/2026;Cert Novo;So;Pago;Conta;210,00;;
13206762;  SOLAR ASSESSORIA LTDA ;48253163000102;29/01/2026;Contrato;Ds;Pago;Asaas;210,00;ok;
13214241;TAMBORIL ALIMENTOS LTDA;44242977000190;04/01/2026;Cert Novo;Mc;Pago;Asaas;49,90;ok;sim
13207068;IPE ALIMENTOS LTDA;66496037000160;23/01/2026;Novo;Ta;Pago;Conta;340,00;;
13212027;  FAROL TURISMO S/A ;99736978000183;17/01/2026;Contador;Bp;Pago;Asaas;210,00;retornar dia 28;
13213606;KAIRO MARKETING EIRELI;94.295.776/0001-20;02/01/2026;Cert Novo;Bp;Pago;Conta;340,00;falar com o contador;
13213802;TAMBORIL COMERCIO ME;05174675000170;10/02/2026;Indicacao;Jp;Pago;Asaas;190,00;retornar dia 28;sim
13200449;ZENITE SERVICOS LTDA;26567281000152;10/01/2026;Renovacao;Ab;Pago;Asaas;190,00;;
13214453;  ARARA ALIMENTOS S/A ;69749021000100;28/02/2026;Apoio;Am;Em aberto;Asaas;140,00;ok;
13200248;BRISA SERVICOS EIRELI;17.294.797/0001-80;13/01/2026;Contrato;Et;Em aberto;Asaas;190,00;falar com o contador;
13205684;RENATA PIRES;371.830.437-09;27/02/2026;Cert Novo;Ds;Pago;Asaas;210,00;ok;
13203348;RENATA MORAES;24489388423;14/02/2026;Renovacao;Et;Pago;Conta;49,90;ok;
13205563;CEDRO PARTICIPACOES LTDA;67912472000191;21/01/2026;Contador;Rm;Em aberto;Conta;190,00;;
13205469;Simone Reis Melo;82364094283;06/02/2026;Google;Mc;Em aberto;Asaas;110,00;aguardando nota;
13203880;JUREMA ALIMENTOS S/A;75358234000104;19/02/2026;Google;St;Pago;Conta;190,00;ok;
13204444;LUMEN TECNOLOGIA LTDA;46967880000170;23/02/2026;Contador;So;Pago;Asaas;49,90;ok;
13204152;QUARTZO TECNOLOGIA LTDA;44.656.675/0001-69;28/01/2026;Google;Et;Pago;Conta;110,00;;
13201815;  QUARTZO TECNOLOGIA LTDA ;14024763000187;11/02/2026;Indicacao;Ds;Pago;Asaas;340,00;ok;
13202957;FAROL LOGISTICA LTDA;54942645000172;20/02/2026;Job Contabil;Et;Pago;Asaas;210,00;ok;
13201924;ORION ENGENHARIA EIRELI;35210936000121;06/01/2026;Contrato;Wb;Pago;Asaas;210,00;falar com o contador;
13208321;TRILHA EDUCACAO S/A;85.697.905/0001-15;12/02/2026;Novo;Et;Pago;Asaas;110,00;aguardando nota;
